"산업분류","규모",2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 09,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 10,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11,2020. 11
"산업분류","규모",종사자_전체 (명),근로자_상용 (명),근로자_임시일용 (명),종사자_기타 (명),빈일자리_전체 (명),빈일자리_상용 (명),빈일자리_임시일용 (명),빈일자리율_전체 (%),빈일자리율_상용 (%),빈일자리율_임시일용 (%),입직자_전체 (명),입직자_상용 (명),입직자_임시일용 (명),입직률_전체 (%),입직률_상용 (%),입직률_임시일용 (%),채용_전체 (명),채용_상용 (명),채용_임시일용 (명),입직기타_전체 (명),입직기타_상용 (명),입직기타_임시일용 (명),이직자_전체 (명),이직자_상용 (명),이직자_임시일용 (명),이직률_전체 (%),이직률_상용 (%),이직률_임시일용 (%),자발적_전체 (명),자발적_상용 (명),자발적_임시일용 (명),비자발적_전체 (명),비자발적_상용 (명),비자발적_임시일용 (명),이직기타_전체 (명),이직기타_상용 (명),이직기타_임시일용 (명),종사자_전체 (명),근로자_상용 (명),근로자_임시일용 (명),종사자_기타 (명),빈일자리_전체 (명),빈일자리_상용 (명),빈일자리_임시일용 (명),빈일자리율_전체 (%),빈일자리율_상용 (%),빈일자리율_임시일용 (%),입직자_전체 (명),입직자_상용 (명),입직자_임시일용 (명),입직률_전체 (%),입직률_상용 (%),입직률_임시일용 (%),채용_전체 (명),채용_상용 (명),채용_임시일용 (명),입직기타_전체 (명),입직기타_상용 (명),입직기타_임시일용 (명),이직자_전체 (명),이직자_상용 (명),이직자_임시일용 (명),이직률_전체 (%),이직률_상용 (%),이직률_임시일용 (%),자발적_전체 (명),자발적_상용 (명),자발적_임시일용 (명),비자발적_전체 (명),비자발적_상용 (명),비자발적_임시일용 (명),이직기타_전체 (명),이직기타_상용 (명),이직기타_임시일용 (명),종사자_전체 (명),근로자_상용 (명),근로자_임시일용 (명),종사자_기타 (명),빈일자리_전체 (명),빈일자리_상용 (명),빈일자리_임시일용 (명),빈일자리율_전체 (%),빈일자리율_상용 (%),빈일자리율_임시일용 (%),입직자_전체 (명),입직자_상용 (명),입직자_임시일용 (명),입직률_전체 (%),입직률_상용 (%),입직률_임시일용 (%),채용_전체 (명),채용_상용 (명),채용_임시일용 (명),입직기타_전체 (명),입직기타_상용 (명),입직기타_임시일용 (명),이직자_전체 (명),이직자_상용 (명),이직자_임시일용 (명),이직률_전체 (%),이직률_상용 (%),이직률_임시일용 (%),자발적_전체 (명),자발적_상용 (명),자발적_임시일용 (명),비자발적_전체 (명),비자발적_상용 (명),비자발적_임시일용 (명),이직기타_전체 (명),이직기타_상용 (명),이직기타_임시일용 (명)
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","전체",70129,68106,1812,211,15,15,0,0.0,0.0,-,1459,829,630,2.1,1.2,35.7,860,329,531,599,500,99,1120,590,530,1.6,0.9,30.0,124,100,24,551,49,501,446,441,5,70323,68277,1825,221,53,46,8,0.1,0.1,0.4,1782,860,922,2.5,1.3,50.7,1097,240,857,685,620,65,1598,682,915,2.3,1.0,50.3,110,81,30,913,61,852,574,541,33,70523,68504,1795,224,400,400,0,0.6,0.6,-,1049,730,319,1.5,1.1,17.6,708,397,311,341,333,8,852,481,371,1.2,0.7,20.5,90,48,42,325,8,317,437,425,12
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","300인미만",43921,42328,1382,211,11,11,0,0.0,0.0,-,825,572,253,1.9,1.4,18.5,395,228,166,431,344,87,646,434,212,1.5,1.0,15.5,98,80,18,234,44,190,315,310,5,44050,42420,1409,221,51,44,8,0.1,0.1,0.6,1032,456,576,2.4,1.1,41.3,636,116,520,396,340,56,913,372,541,2.1,0.9,38.8,89,71,18,545,56,489,279,246,33,44003,42424,1355,224,33,33,0,0.1,0.1,-,309,248,62,0.7,0.6,4.5,137,84,54,172,164,8,359,224,135,0.8,0.5,9.8,61,38,23,106,6,100,192,180,12
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","300인이상",26208,25778,431,0,4,4,0,0.0,0.0,-,634,257,377,2.4,1.0,95.2,465,100,365,169,156,13,474,156,317,1.8,0.6,80.1,26,20,6,317,6,311,131,131,0,26273,25857,417,0,2,2,0,0.0,0.0,-,750,404,346,2.9,1.6,81.6,460,123,337,290,281,9,685,310,375,2.6,1.2,88.4,22,10,12,368,5,363,295,295,0,26520,26080,440,0,366,366,0,1.4,1.4,-,739,482,257,2.8,1.9,60.0,571,313,257,169,169,0,492,256,236,1.9,1.0,55.1,29,9,19,219,2,217,245,245,0
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전체",115167,108511,6284,372,657,654,3,0.6,0.6,0.0,4246,1657,2590,3.7,1.5,44.1,3983,1419,2564,263,237,26,3241,1500,1740,2.8,1.4,29.7,1223,1127,96,1806,175,1631,211,198,13,116168,108504,7292,372,981,892,89,0.8,0.8,1.2,4080,1775,2305,3.5,1.6,34.0,3699,1395,2304,381,381,0,3079,1796,1282,2.7,1.7,18.9,1180,1066,113,1619,452,1167,280,278,2,116552,108917,7266,369,928,846,82,0.8,0.8,1.1,3674,1719,1955,3.2,1.6,26.9,3389,1444,1946,285,275,10,3288,1316,1972,2.8,1.2,27.1,1088,982,106,1978,112,1865,222,221,1
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300인미만",113201,106559,6269,372,657,654,3,0.6,0.6,0.0,4205,1630,2575,3.7,1.5,43.9,3968,1418,2549,237,212,26,3236,1495,1740,2.9,1.4,29.7,1223,1127,96,1806,175,1631,206,194,13,114203,106571,7259,372,981,892,89,0.9,0.8,1.2,4070,1772,2298,3.6,1.7,34.0,3690,1393,2298,379,379,0,3067,1788,1280,2.7,1.7,18.9,1173,1062,111,1619,452,1167,275,273,2,114513,106926,7218,369,928,846,82,0.8,0.8,1.1,3592,1656,1937,3.2,1.6,26.8,3311,1384,1927,281,272,10,3279,1310,1968,2.9,1.2,27.2,1084,981,103,1977,112,1864,217,216,1
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300인이상",1967,1952,15,0,0,0,0,0.0,0.0,-,41,26,15,2.1,1.3,...,16,1,15,26,26,0,5,5,0,0.3,0.3,-,0,0,0,0,0,0,5,5,0,1966,1933,33,0,0,0,0,0.0,0.0,-,10,4,7,0.5,0.2,...,8,2,7,2,2,0,11,9,3,0.6,0.5,...,7,4,3,0,0,0,5,5,0,2039,1991,48,0,0,0,0,0.0,0.0,-,82,64,19,4.1,3.3,...,78,60,19,4,4,0,9,6,4,0.4,0.3,...,4,1,3,1,0,1,5,5,0
"F.건설업(41~42)","전체",1365424,849433,493480,22511,5582,4576,1006,0.4,0.5,0.2,237923,18112,219812,17.6,2.1,44.2,234827,16529,218298,3097,1583,1514,248181,20117,228064,18.4,2.4,45.8,16617,13616,3001,227145,2597,224548,4419,3904,515,1393962,849467,521200,23295,5116,3511,1605,0.4,0.4,0.3,277809,17233,260576,20.5,2.0,51.4,274976,14847,260129,2833,2386,447,250055,18556,231499,18.4,2.2,45.6,16346,12487,3859,230183,2983,227200,3526,3086,440,1406450,848732,535102,22616,4312,3573,739,0.3,0.4,0.1,261975,17595,244380,19.0,2.1,46.3,260060,15680,244380,1915,1915,0,248809,17353,231456,18.1,2.0,43.8,15099,11198,3901,231565,4262,227303,2145,1893,253
"F.건설업(41~42)","300인미만",1291553,781743,487298,22511,5573,4567,1006,0.4,0.6,0.2,235261,16984,218276,18.5,2.2,44.4,232697,15935,216763,2563,1049,1514,245883,18917,226966,19.3,2.4,46.1,16194,13244,2950,225868,2358,223510,3821,3315,506,1320074,782156,514624,23295,5116,3511,1605,0.4,0.4,0.3,275577,16440,259137,21.5,2.1,51.7,273148,14458,258690,2429,1982,447,247839,17384,230455,19.3,2.2,46.0,15941,12124,3817,228933,2735,226198,2965,2525,440,1332853,781535,528702,22616,4245,3506,739,0.3,0.4,0.1,259775,16514,243261,19.9,2.1,46.6,258316,15055,243261,1460,1460,0,246318,16157,230161,18.9,2.1,44.1,14687,10837,3850,230161,4094,226067,1471,1226,245
"F.건설업(41~42)","300인이상",73871,67690,6182,0,9,9,0,0.0,0.0,-,2663,1127,1535,3.6,1.7,25.7,2129,594,1535,533,533,0,2298,1200,1098,3.1,1.8,18.4,423,372,51,1277,239,1038,598,589,9,73888,67312,6576,0,0,0,0,0.0,0.0,-,2232,793,1439,3.0,1.2,22.6,1828,389,1439,404,404,0,2216,1172,1044,3.0,1.7,16.4,405,363,42,1250,248,1002,561,561,0,73597,67197,6400,0,67,67,0,0.1,0.1,-,2200,1081,1119,3.0,1.6,17.2,1745,626,1119,455,455,0,2491,1196,1295,3.4,1.8,20.0,412,360,51,1405,168,1236,675,667,8
"G.도매 및 소매업(45~47)","전체",2261189,1836429,174583,250177,14576,13533,1044,0.7,0.7,0.6,83287,52035,31252,4.1,2.8,17.7,74206,42977,31228,9081,9058,23,86650,52112,34538,4.3,2.8,19.6,41697,34586,7111,36229,9432,26797,8724,8094,630,2264097,1836497,179143,248457,14164,13229,935,0.7,0.7,0.5,87482,54102,33380,4.3,2.9,18.9,79759,46628,33130,7723,7473,250,82853,54241,28612,4.1,3.0,16.2,42520,35246,7274,30899,10112,20787,9435,8883,552,2261646,1832692,181373,247581,13363,12894,469,0.7,0.7,0.3,81793,45499,36293,4.1,2.5,20.1,76071,39822,36249,5721,5677,44,83367,49319,34048,4.1,2.7,18.9,37273,30516,6757,38805,12535,26270,7290,6268,1021
